Period,Trade Flow,Reporter,Partner,2nd Partner,Customs Desc,Transport Mode,Commodity Code,Trade Value (US$),Net Weight(kg),Gross Weight,Qty Unit,Qty,Alternate Quantity unit,Alternate Quantity
2022,X,Andorra,World,World,TOTAL CPC,TOTAL MOT,854231,"$6,020,931",2381,,N/A,,kg,2381
2022,X,Andorra,World,World,TOTAL CPC,TOTAL MOT,854232,"$18,244",105,,N/A,,kg,105
2022,X,Angola,World,World,TOTAL CPC,TOTAL MOT,854231,"$104,774",345,,N/A,,kg,345
2022,X,Argentina,World,World,TOTAL CPC,TOTAL MOT,854231,"$609,241",846,,u,3404,u,3404
2022,X,Argentina,World,World,TOTAL CPC,TOTAL MOT,854232,"$3,070",5,,u,58,u,58
2022,X,Armenia,World,World,TOTAL CPC,TOTAL MOT,854231,"$2,865,509",14057,,u,326961,u,326961
2022,X,Armenia,World,World,TOTAL CPC,TOTAL MOT,854232,"$372,793",4349,,u,77872,u,77872
2022,X,Australia,World,World,TOTAL CPC,TOTAL MOT,854231,"$41,335,232",,73821,u,11573700,u,11573700
2022,X,Australia,World,World,TOTAL CPC,TOTAL MOT,854232,"$7,094,960",3398,9701,u,2041935,u,2041935
2022,X,Austria,World,World,TOTAL CPC,TOTAL MOT,854231,"$263,211,962",755780,,N/A,,N/A,
2022,X,Austria,World,World,TOTAL CPC,TOTAL MOT,854232,"$24,610,542",27278,,u,10202496,N/A,
2022,X,Azerbaijan,World,World,TOTAL CPC,TOTAL MOT,854231,"$43,792",19,,u,32,u,32
2022,X,Azerbaijan,World,World,TOTAL CPC,TOTAL MOT,854232,$72,1,,u,5,u,5
2022,X,Bahrain,World,World,TOTAL CPC,TOTAL MOT,854231,"$1,643,215",22677,,u,1355,u,1355
2022,X,Bahrain,World,World,TOTAL CPC,TOTAL MOT,854232,"$13,573",10,,u,88,u,88
2022,X,Barbados,World,World,TOTAL CPC,TOTAL MOT,854231,$837,2,,N/A,,kg,2
2022,X,Belgium,World,World,TOTAL CPC,TOTAL MOT,854231,"$1,207,961,729",807644,,N/A,,N/A,
2022,X,Belgium,World,World,TOTAL CPC,TOTAL MOT,854232,"$343,211,667",3802166,,u,1572664547,N/A,
2022,X,Bolivia (Plurinational State of),World,World,TOTAL CPC,TOTAL MOT,854231,"$13,410",87,90,N/A,,kg,87
2022,X,Bolivia (Plurinational State of),World,World,TOTAL CPC,TOTAL MOT,854232,$5,0,0,N/A,,kg,0
2022,X,Bosnia Herzegovina,World,World,TOTAL CPC,TOTAL MOT,854231,"$122,638",1031,,N/A,,kg,1031
2022,X,Bosnia Herzegovina,World,World,TOTAL CPC,TOTAL MOT,854232,"$8,330",18,,N/A,,kg,18
2022,X,Botswana,World,World,TOTAL CPC,TOTAL MOT,854231,"$50,983",155,,u,95,u,95
2022,X,Botswana,World,World,TOTAL CPC,TOTAL MOT,854232,$54,0,,u,1,u,1
2022,X,Brazil,World,World,TOTAL CPC,TOTAL MOT,854231,"$39,652,148",109786,,u,26321155,N/A,
2022,X,Brazil,World,World,TOTAL CPC,TOTAL MOT,854232,"$13,433,410",3211,,u,3113505,u,3113505
2022,X,Brunei Darussalam,World,World,TOTAL CPC,TOTAL MOT,854231,"$82,150",,,u,253,u,253
2022,X,Brunei Darussalam,World,World,TOTAL CPC,TOTAL MOT,854232,$58,0,,u,1,u,1
2022,X,Bulgaria,World,World,TOTAL CPC,TOTAL MOT,854231,"$417,434,864",448222,,N/A,,N/A,
2022,X,Bulgaria,World,World,TOTAL CPC,TOTAL MOT,854232,"$2,592,583",5081,,N/A,,N/A,
2022,X,Canada,World,World,TOTAL CPC,TOTAL MOT,854231,"$750,327,750",,,u,30197029,u,30197029
2022,X,Canada,World,World,TOTAL CPC,TOTAL MOT,854232,"$44,863,689",21492,,u,47904918,u,47904918
2022,X,Chile,World,World,TOTAL CPC,TOTAL MOT,854231,"$1,240,854",,,u,4270,u,4270
2022,X,Chile,World,World,TOTAL CPC,TOTAL MOT,854232,"$37,077",17,,u,234,u,234
2022,X,China,World,World,TOTAL CPC,TOTAL MOT,854231,"$52,263,191,419",16379852,,u,79759201932,N/A,
2022,X,China,World,World,TOTAL CPC,TOTAL MOT,854232,"$70,297,732,758",4586074,,u,24754173541,N/A,
2022,X,"China, Hong Kong SAR",World,World,TOTAL CPC,TOTAL MOT,854231,"$81,289,921,398",,,N/A,,N/A,
2022,X,"China, Hong Kong SAR",World,World,TOTAL CPC,TOTAL MOT,854232,"$37,643,977,488",18034046,,N/A,,N/A,
2022,X,"China, Macao SAR",World,World,TOTAL CPC,TOTAL MOT,854231,"$10,497,704",609,,N/A,,N/A,
2022,X,Croatia,World,World,TOTAL CPC,TOTAL MOT,854231,"$7,316,229",77296,,N/A,,kg,77296
2022,X,Croatia,World,World,TOTAL CPC,TOTAL MOT,854232,"$164,090",7534,,u,94959,N/A,
2022,X,Cyprus,World,World,TOTAL CPC,TOTAL MOT,854231,"$116,570",129,,N/A,,N/A,
2022,X,Cyprus,World,World,TOTAL CPC,TOTAL MOT,854232,"$1,194",2,,u,36,u,36
2022,X,Czechia,World,World,TOTAL CPC,TOTAL MOT,854231,"$1,020,850,101",2200442,,N/A,,N/A,
2022,X,Czechia,World,World,TOTAL CPC,TOTAL MOT,854232,"$119,927,387",1072913,,u,19956193,N/A,
2022,X,Denmark,World,World,TOTAL CPC,TOTAL MOT,854231,"$156,333,391",1201524,,N/A,,kg,1201524
2022,X,Denmark,World,World,TOTAL CPC,TOTAL MOT,854232,"$28,654,300",110700,,u,3001264,N/A,
2022,X,Dominican Rep.,World,World,TOTAL CPC,TOTAL MOT,854231,"$51,481",4218,,u,4145,u,4145
2022,X,Dominican Rep.,World,World,TOTAL CPC,TOTAL MOT,854232,"$2,902",20,,u,980,u,980
2022,X,Egypt,World,World,TOTAL CPC,TOTAL MOT,854231,"$337,507",,,N/A,,N/A,
2022,X,Egypt,World,World,TOTAL CPC,TOTAL MOT,854232,"$629,010",301,,N/A,,N/A,
2022,X,El Salvador,World,World,TOTAL CPC,TOTAL MOT,854231,"$144,389",1742,,N/A,,kg,1742
2022,X,El Salvador,World,World,TOTAL CPC,TOTAL MOT,854232,$715,4,,N/A,,kg,4
2022,X,Estonia,World,World,TOTAL CPC,TOTAL MOT,854231,"$26,945,359",53181,,N/A,,kg,53181
2022,X,Estonia,World,World,TOTAL CPC,TOTAL MOT,854232,"$3,058,091",8902,,u,1192789,N/A,
2022,X,Fiji,World,World,TOTAL CPC,TOTAL MOT,854231,$935,,,N/A,,N/A,
2022,X,Finland,World,World,TOTAL CPC,TOTAL MOT,854231,"$260,150,861",18284,,N/A,,N/A,
2022,X,Finland,World,World,TOTAL CPC,TOTAL MOT,854232,"$10,890,118",2649,,N/A,,N/A,
2022,X,France,World,World,TOTAL CPC,TOTAL MOT,854231,"$2,701,301,678",1349616,,N/A,,N/A,
2022,X,France,World,World,TOTAL CPC,TOTAL MOT,854232,"$1,012,283,727",276635,,u,381110928,N/A,
2022,X,French Polynesia,World,World,TOTAL CPC,TOTAL MOT,854231,"$3,159",124,,N/A,,kg,124
2022,X,French Polynesia,World,World,TOTAL CPC,TOTAL MOT,854232,$58,0,,N/A,,kg,0
2022,X,Georgia,World,World,TOTAL CPC,TOTAL MOT,854231,"$197,428",160,,u,10319,u,10319
2022,X,Georgia,World,World,TOTAL CPC,TOTAL MOT,854232,"$112,867",72,,u,475,u,475
2022,X,Germany,World,World,TOTAL CPC,TOTAL MOT,854231,"$9,674,743,006",3502726,,N/A,,N/A,
2022,X,Germany,World,World,TOTAL CPC,TOTAL MOT,854232,"$995,166,238",604632,,u,1094796443,N/A,
2022,X,Greece,World,World,TOTAL CPC,TOTAL MOT,854231,"$21,583,165",63242,,N/A,,kg,63242
2022,X,Greece,World,World,TOTAL CPC,TOTAL MOT,854232,"$4,507,826",1056,,N/A,,kg,1056
