년월,반도체(억불),반도체_전년동월대비_증감률(퍼센트),메모리(억불),메모리_전년동월대비_증감률(퍼센트),메모리_D램(억불),메모리_D램_전년동월대비_증감률(퍼센트),메모리_낸드(억불),메모리_낸드_전년동월대비_증감률(퍼센트),메모리_MCP(억불),메모리_MCP_전년동월대비_증감률(퍼센트),시스템_반도체(억불),시스템_반도체_전년동월대비_증감률(퍼센트),개별소자(억불),개별소자_전년동월대비_증감률(퍼센트),디스플레이_패널(억불),디스플레이_패널_전년동월대비_증감률(퍼센트)
2015-01,52.6,13.3,28.3,17.6,18.6,32.8,3,-7.4,6.7,-1.7,19.1,9.4,1.3,-5.4,26.6,-90.3
2015-02,47.6,6.4,26.7,15.7,17.6,35.5,2.6,-13.4,6.4,-8.2,16.4,-2,1.1,-21,22.9,-13.6
2015-03,53.9,2.9,27.7,1.8,17.3,9.1,2.1,-28.3,8.2,-0.8,20.9,7.1,1.3,-15.2,26.2,14.3
2015-04,51.6,6.9,26.9,4.6,16.1,10.8,2.2,-29.1,8.5,6.6,19.8,14.8,1.3,-18.7,26.9,2.4
2015-05,51.1,4.3,26.1,-4,15.9,3.9,2.1,-40.3,8,-2.8,20.5,23.5,1.2,-19.5,26.7,-0.4
2015-06,53.1,2.9,28.7,-0.9,18,13.2,2.3,-43.4,8.3,-6.2,19.3,10.8,1.2,-16.4,25.8,-3.5
2015-07,51.4,6.2,28.2,-1.4,16.7,0.3,2.2,-39.1,9.3,11.9,17.6,19.7,1.3,-12.2,25.6,-0.7
2015-08,54.5,4,30.2,-1.5,15.4,-13.7,2.3,-30.6,12.4,31.5,19.1,15,1.3,-11.3,24.9,-2.7
2015-09,58.6,0.8,32.3,4.6,15.5,-17.3,2.2,-28.3,14.6,60.9,21.1,-3.7,1.2,-14.2,24.5,-1.8
2015-10,55,-7.5,29.4,-4.6,14.7,-20.3,2,-36.6,12.6,38.1,20.6,-12.8,1.2,-14.2,25.1,2.4
2015-11,51.9,-9.9,27.5,-13.3,13.9,-29.8,2.2,-38,11.4,35.5,19.6,-8.5,1.3,0.1,22,-12.1
2015-12,47.9,-17.5,25.8,-16.7,13,-36.4,1.9,-38.2,10.8,48.2,17.4,-21,1.2,-7.6,19.9,-9.6
2016-01,45.3,-14,24.8,-12.4,13.2,-28.9,2.2,-26,9.4,39.1,15.9,-17.1,1.2,-8.6,18.2,-31.5
